app_name,rq4_found,rq4_status,rq4_normal_count,rq4_dangerous_count,rq5_found,rq5_status,rq5_unused_count,rq7_found,rq7_status,rq7_vulnerable_count,rq7_safe_export_count,error
Copy of com.appsamimanera.calendarioportugues_8.apk,True,MEDIUM RISK,2,2,True,VULNERABLE,2,True,VULNERABLE,4,3,
Copy of com.appscho.appschov2.esg_13001.apk,True,MEDIUM RISK,5,4,True,VULNERABLE,4,False,CLEAN,0,1,
Copy of com.apptegy.iberia_23.apk,True,MEDIUM RISK,3,4,True,VULNERABLE,7,False,CLEAN,0,1,
Copy of com.apptegy.palmyra_24.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,6,True,VULNERABLE,5,3,
Copy of com.apptegy.rockland_25.apk,True,MEDIUM RISK,3,4,True,VULNERABLE,7,False,CLEAN,0,1,
Copy of com.appworkout.fitbutler.demo_1277.apk,True,MEDIUM RISK,3,6,True,VULNERABLE,5,False,CLEAN,0,1,
Copy of com.appybuilder.sarafriss1997.nokatori_36.apk,True,VULNERABLE,1,0,True,VULNERABLE,2,False,CLEAN,0,1,
Copy of com.arashpayan.prayerbook_23.apk,False,CLEAN,0,0,False,CLEAN,0,False,CLEAN,0,1,
Copy of com.areeb.doobo_535.apk,True,MEDIUM RISK,4,5,True,VULNERABLE,5,True,VULNERABLE,6,5,
Copy of com.arppha_375.apk,True,MEDIUM RISK,3,4,True,VULNERABLE,2,True,VULNERABLE,4,1,
Copy of com.arvin.applemessagepro_30.apk,True,HIGH RISK,3,9,True,VULNERABLE,9,False,CLEAN,0,3,
Copy of com.aryservices.arynews.en_80970.apk,True,VULNERABLE,4,0,True,VULNERABLE,2,True,VULNERABLE,4,3,
Copy of com.asis.petechmobil_19.apk,True,MEDIUM RISK,2,4,True,VULNERABLE,5,True,VULNERABLE,34,2,
Copy of com.astroid.yodha_45840004.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,5,True,VULNERABLE,1,7,
Copy of com.autocab.driverapp_9930.apk,True,MEDIUM RISK,10,11,True,VULNERABLE,3,True,VULNERABLE,2,1,
Copy of com.avempace.smaart.doorphone_7365.apk,True,MEDIUM RISK,6,4,True,VULNERABLE,6,True,VULNERABLE,1,1,
Copy of com.AwamiSolution.flipimagemirrorimage_13.apk,True,MEDIUM RISK,3,2,True,VULNERABLE,2,True,VULNERABLE,9,1,
Copy of com.ax.hud.compass_5.apk,True,MEDIUM RISK,1,4,True,VULNERABLE,4,True,VULNERABLE,1,1,
Copy of com.barasan.cookiekingdomcode_51.apk,True,VULNERABLE,5,0,True,VULNERABLE,4,False,CLEAN,0,1,
Copy of com.bdcricketlivescore.bangladeshcricketlivematchhd_16.apk,True,VULNERABLE,3,0,True,VULNERABLE,4,True,VULNERABLE,30,3,
Copy of com.beki.live_50.apk,True,MEDIUM RISK,11,5,True,VULNERABLE,7,True,VULNERABLE,18,7,
Copy of com.beoneapps.rutadelaplata_11.apk,True,MEDIUM RISK,1,2,True,VULNERABLE,1,False,CLEAN,0,1,
Copy of com.bfi.rca.gabon_2.apk,True,MEDIUM RISK,2,7,True,VULNERABLE,4,True,VULNERABLE,1,1,
